date,weekday,CO,O3,NO2,SO2,PM10,PM2.5,AQI,clean,acceptable,unhealthy_for_the_sensitive,unhealthy,very_unhealthy,hazardous
2016-08-09,Tuesday,46,62.0,84.0,20.0,60.0,82.0,82.0,,1.0,,,,
2016-08-10,Wednesday,52,63.0,84.0,22.0,63.0,92.0,92.0,,1.0,,,,
2016-08-11,Thursday,46,67.0,88.0,20.0,67.0,90.0,90.0,,1.0,,,,
2016-08-12,Friday,48,67.0,80.0,18.0,63.0,85.0,85.0,,1.0,,,,
2016-08-13,Saturday,43,55.0,83.0,18.0,58.0,85.0,85.0,,1.0,,,,
2016-08-14,Sunday,42,43.0,80.0,20.0,61.0,87.0,87.0,,1.0,,,,
2016-08-15,Monday,51,50.0,80.0,21.0,67.0,95.0,95.0,,1.0,,,,
2016-08-16,Tuesday,32,48.0,76.0,18.0,65.0,94.0,94.0,,1.0,,,,
2016-08-17,Wednesday,38,44.0,77.0,20.0,60.0,83.0,83.0,,1.0,,,,
2016-08-18,Thursday,40,48.0,75.0,21.0,63.0,83.0,83.0,,1.0,,,,
2016-08-19,Friday,44,46.0,71.0,19.0,62.0,85.0,85.0,,1.0,,,,
2016-08-20,Saturday,49,57.0,72.0,20.0,54.0,81.0,81.0,,1.0,,,,
2016-08-21,Sunday,41,53.0,86.0,20.0,63.0,93.0,93.0,,1.0,,,,
2016-08-22,Monday,33,55.0,80.0,19.0,64.0,89.0,89.0,,1.0,,,,
2016-08-23,Tuesday,34,56.0,80.0,20.0,63.0,87.0,87.0,,1.0,,,,
2016-08-24,Wednesday,39,56.0,80.0,20.0,60.0,85.0,85.0,,1.0,,,,
2016-08-25,Thursday,43,60.0,81.0,20.0,68.0,93.0,93.0,,1.0,,,,
2016-08-26,Friday,48,61.0,78.0,20.0,64.0,90.0,90.0,,1.0,,,,
2016-08-27,Saturday,51,67.0,81.0,22.0,63.0,88.0,88.0,,1.0,,,,
2016-08-28,Sunday,42,69.0,74.0,21.0,69.0,94.0,94.0,,1.0,,,,
2016-08-29,Monday,49,48.0,86.0,22.0,76.0,99.0,99.0,,1.0,,,,
2016-08-30,Tuesday,45,37.0,81.0,21.0,73.0,96.0,96.0,,1.0,,,,
2016-08-31,Wednesday,47,46.0,81.0,22.0,71.0,98.0,98.0,,1.0,,,,
2016-09-01,Thursday,41,47.0,76.0,23.0,79.0,101.0,101.0,,,1.0,,,
2016-09-02,Friday,30,41.0,70.0,20.0,70.0,92.0,92.0,,1.0,,,,
2016-09-03,Saturday,34,48.0,63.0,17.0,114.0,124.0,124.0,,,1.0,,,
2016-09-04,Sunday,46,50.0,72.0,22.0,80.0,107.0,107.0,,,1.0,,,
2016-09-05,Monday,53,43.0,75.0,19.0,79.0,103.0,103.0,,,1.0,,,
2016-09-06,Tuesday,45,43.0,71.0,22.0,67.0,85.0,85.0,,1.0,,,,
2016-09-07,Wednesday,48,57.0,88.0,27.0,75.0,103.0,103.0,,,1.0,,,
