????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???
???????,?????,CO,O3,NO2,SO2,PM10,PM2.5,AQI,???,???? ????,??????  ???? ???? ????,??????,????? ??????,??????
??? ??,-,,,,,,,,13,235,109,8,,
?? ??????? ??,1396/05/19,36,105,87,9,72,88,105,,,1,,,
?? ??????? ??,1396/05/20,22,71,54,8,69,78,78,,1,,,,
?? ??????? ??,1396/05/21,37,88,69,11,61,79,88,,1,,,,
?? ??????? ??,1396/05/22,30,56,69,11,63,82,82,,1,,,,
?? ??????? ??,1396/05/23,50,88,93,14,76,101,101,,,1,,,
?? ??????? ??,1396/05/24,48,65,87,16,73,98,98,,1,,,,
?? ??????? ??,1396/05/25,49,62,83,15,73,93,93,,1,,,,
?? ??????? ??,1396/05/26,46,66,77,12,73,93,93,,1,,,,
?? ??????? ??,1396/05/27,26,55,67,13,88,98,98,,1,,,,
?? ??????? ??,1396/05/28,44,62,75,15,78,109,109,,,1,,,
?? ??????? ??,1396/05/29,35,50,68,17,71,94,94,,1,,,,
?? ??????? ??,1396/05/30,30,49,66,11,63,79,79,,1,,,,
?? ??????? ??,1396/05/31,43,68,73,13,65,80,80,,1,,,,
?? ??????? ??,1396/06/01,45,67,69,12,60,77,77,,1,,,,
?? ??????? ??,1396/06/02,57,62,87,11,67,81,81,,1,,,,
?? ??????? ??,1396/06/03,42,86,78,13,66,92,92,,1,,,,
?? ??????? ??,1396/06/04,38,88,72,14,71,94,94,,1,,,,
?? ??????? ??,1396/06/05,41,62,68,13,64,82,82,,1,,,,
?? ??????? ??,1396/06/06,38,52,64,12,62,80,80,,1,,,,
?? ??????? ??,1396/06/07,40,47,64,13,61,76,76,,1,,,,
?? ??????? ??,1396/06/08,45,54,72,13,65,82,82,,1,,,,
?? ??????? ??,1396/06/09,49,87,82,15,70,95,95,,1,,,,
?? ??????? ??,1396/06/10,54,114,92,13,73,92,114,,,1,,,
?? ??????? ??,1396/06/11,44,81,79,14,62,82,82,,1,,,,
?? ??????? ??,1396/06/12,45,62,83,14,69,85,85,,1,,,,
?? ??????? ??,1396/06/13,42,49,71,15,66,79,79,,1,,,,
?? ??????? ??,1396/06/14,54,39,66,14,67,82,82,,1,,,,
?? ??????? ??,1396/06/15,39,47,77,14,65,79,79,,1,,,,
?? ??????? ??,1396/06/16,43,51,74,15,68,84,84,,1,,,,
?? ??????? ??,1396/06/17,37,59,73,13,75,94,94,,1,,,,
?? ??????? ??,1396/06/18,36,72,64,12,79,97,97,,1,,,,
?? ??????? ??,1396/06/19,41,62,77,14,81,98,98,,1,,,,
?? ??????? ??,1396/06/20,37,52,71,15,83,94,94,,1,,,,
?? ??????? ??,1396/06/21,35,36,67,16,74,88,88,,1,,,,
?? ??????? ??,1396/06/22,45,49,76,16,83,98,98,,1,,,,
?? ??????? ??,1396/06/23,39,55,85,12,77,87,87,,1,,,,
?? ??????? ??,1396/06/24,36,76,92,11,69,86,86,,1,,,,
?? ??????? ??,1396/06/25,42,59,69,14,64,81,81,,1,,,,
?? ??????? ??,1396/06/26,37,67,88,16,68,91,91,,1,,,,
?? ??????? ??,1396/06/27,33,51,73,17,70,84,84,,1,,,,
?? ??????? ??,1396/06/28,38,50,74,17,72,85,85,,1,,,,
?? ??????? ??,1396/06/29,39,58,85,18,67,83,83,,1,,,,
?? ??????? ??,1396/06/30,43,70,86,18,68,84,84,,1,,,,
?? ??????? ??,1396/06/31,49,59,82,18,67,85,85,,1,,,,
?? ??????? ??,1396/07/01,50,56,85,19,68,86,86,,1,,,,
?? ??????? ??,1396/07/02,49,46,78,20,71,88,88,,1,,,,
?? ??????? ??,1396/07/03,51,36,68,18,63,74,74,,1,,,,
