????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???
???????,?????,CO,O3,NO2,SO2,PM10,PM2.5,AQI,???,???? ????,??????  ???? ???? ????,??????,????? ??????,??????
??? ??,-,,,,,,,,4,246,102,15,,
?? ??????? ??,1399/05/19,20,106,70,18,55,72,106,,,1,,,
?? ??????? ??,1399/05/20,30,66,81,19,57,74,81,,1,,,,
?? ??????? ??,1399/05/21,35,102,89,25,64,82,102,,,1,,,
?? ??????? ??,1399/05/22,29,108,89,26,65,85,108,,,1,,,
?? ??????? ??,1399/05/23,34,76,87,19,70,91,91,,1,,,,
?? ??????? ??,1399/05/24,35,128,89,17,68,91,128,,,1,,,
?? ??????? ??,1399/05/25,32,126,84,15,67,89,126,,,1,,,
?? ??????? ??,1399/05/26,21,115,70,13,77,86,115,,,1,,,
?? ??????? ??,1399/05/27,26,96,85,16,72,91,96,,1,,,,
?? ??????? ??,1399/05/28,19,72,67,18,67,79,79,,1,,,,
?? ??????? ??,1399/05/29,25,46,70,26,59,74,74,,1,,,,
?? ??????? ??,1399/05/30,33,46,75,24,65,83,83,,1,,,,
?? ??????? ??,1399/05/31,32,75,88,33,60,84,88,,1,,,,
?? ??????? ??,1399/06/01,31,67,72,28,63,81,81,,1,,,,
?? ??????? ??,1399/06/02,29,98,91,27,61,82,98,,1,,,,
?? ??????? ??,1399/06/03,23,50,73,14,80,82,82,,1,,,,
?? ??????? ??,1399/06/04,18,42,65,25,78,78,78,,1,,,,
